lon,lat,h,pd
-8.0691518786033,4.13806676448626,24.03746,2.434413
-8.07095403922092,4.1561215045974,24.00786,2.434416
-8.07502442762003,4.19675115975868,24.58392,2.434422
-8.07684318216667,4.21493735884639,24.84377,2.434424
-8.07864961503092,4.23297814515619,24.92543,2.434427
-8.08045914700514,4.25104058527653,24.9244,2.43443
-8.08638473644783,4.3102272170021,25.40655,2.434441
-8.08818954088909,4.32824706743111,25.61856,2.434445
-8.090012661218,4.34645680589942,25.73773,2.434449
-8.09196068330503,4.36589889794396,25.80543,2.434455
-8.09589014561216,4.40512134129652,25.59138,2.434468
-8.09890950203882,4.43526127815071,26.23066,2.434481
-8.10292068686584,4.4753312395356,78.09757,2.420868
-8.10878128224932,4.53376391797587,25.94155,2.434541
-8.117197934473,4.61765636023366,49.37197,2.428964
-8.11906387280058,4.63626975206815,63.72658,2.425063
-8.12091848470133,4.65471052851965,79.64939,2.420739
-8.12279730696712,4.67343027038867,64.10778,2.42502
-8.12468263135168,4.69223984297607,61.54157,2.425755
-8.12655055051052,4.71080873303939,55.21685,2.427521
-8.1283624070374,4.72882002172085,60.03089,2.426236
-8.13026658775822,4.74780262319119,66.35023,2.424541
-8.13214821488388,4.76655262554195,90.86722,2.417874
-8.13406060064928,4.78558156087093,90.58451,2.417988
-8.13590023026075,4.80388639337852,89.09381,2.418431
-8.13772907556595,4.82212631469927,70.83399,2.423461
-8.13955943551713,4.84033053412029,89.58154,2.41837
-8.14143013452752,4.85891477605835,126.5972,2.408306
-8.1432603716883,4.87714009248583,141.2733,2.404345
-8.14512753607922,4.89574527899456,165.0977,2.397903
-8.14701617373889,4.91452908693264,157.0143,2.400131
-8.14891729885742,4.93348223710877,127.5748,2.408173
-8.15079720634617,4.9521247623457,611.2383,2.279287
-8.15266841220163,4.97077744197313,147.9141,2.40269
-8.15459401228228,4.98996898461669,149.6362,2.402246
-8.15647507778388,5.00868036608283,116.2776,2.411359
-8.15835861339661,5.02741631024349,159.0153,2.39974
